;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2
Cereals_A;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_A;2274;191;129;150;0;-175;2919;2975
Oilcrops_A;177;310;26;24;5169;277;5429;5451
Vegetable Oils_A;1527;12;402;0;4;65;1880;1882
Vegetables_A;12430;930;0;12;0;0;13372;13411
Fruits_A;9000;0;6;0;6965;90;15881;15874
Meat_A;5218;0;0;0;16;0;5234;5238
Cereals_B;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_B;2274;191;129;150;0;-175;2919;2975
Oilcrops_B;177;310;26;24;5169;277;5429;5451
Vegetable Oils_B;1527;12;402;0;4;65;1880;1882
Vegetables_B;12430;930;0;12;0;0;13372;13411
Fruits_B;9000;0;6;0;6965;90;15881;15874
Meat_B;5218;0;0;0;16;0;5234;5238
Cereals_C;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_C;2274;191;129;150;0;-175;2919;2975
Oilcrops_C;177;310;26;24;5169;277;5429;5451
Vegetable Oils_C;1527;12;402;0;4;65;1880;1882
Vegetables_C;12430;930;0;12;0;0;13372;13411
Fruits_C;9000;0;6;0;6965;90;15881;15874
Meat_C;5218;0;0;0;16;0;5234;5238
Cereals_D;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_D;2274;191;129;150;0;-175;2919;2975
Oilcrops_D;177;310;26;24;5169;277;5429;5451
Vegetable Oils_D;1527;12;402;0;4;65;1880;1882
Vegetables_D;12430;930;0;12;0;0;13372;13411
Fruits_D;9000;0;6;0;6965;90;15881;15874
Meat_D;5218;0;0;0;16;0;5234;5238
Cereals_E;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_E;2274;191;129;150;0;-175;2919;2975
Oilcrops_E;177;310;26;24;5169;277;5429;5451
Vegetable Oils_E;1527;12;402;0;4;65;1880;1882
Vegetables_E;12430;930;0;12;0;0;13372;13411
Fruits_E;9000;0;6;0;6965;90;15881;15874
Meat_E;5218;0;0;0;16;0;5234;5238
Cereals_F;9210;12940;122;624;833;-344;24073;24150
Starchy Roots_F;2274;191;129;150;0;-175;2919;2975
Oilcrops_F;177;310;26;24;5169;277;5429;5451
Vegetable Oils_F;1527;12;402;0;4;65;1880;1882
Vegetables_F;12430;930;0;12;0;0;13372;13411
Fruits_F ;9000;0;6;0;6965;90;15881;15874
Meat_F;5218;0;0;0;16;0;5234;5238
Cereals_G;9210;12940;122;624;833;-344;24073;24150
