"Valori presi da FAOSTAT ; Italy 2010 e bilanciati";;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2;imb;;;;;
Cereals ;9230;12950;130;630;860;-350;24150;24150;0;24150;;;;
Starchy Roots;2300;190;135;155;0;-195;2975;2975;0;2975;;;;
Oilcrops;180;310;26;24;5169;258;5451;5451;0;5451;;;;
Vegetable Oils;1530;12;402;0;3;65;1882;1882;0;1882;;;;
Vegetables;12500;895;0;16;0;0;13411;13411;0;13411;;;;
Fruits ;8990;0;4;0;7000;120;15874;15874;0;15874;;;;
Meat;5218;0;0;0;20;0;5238;5238;0;5238;;;;
Tot Col;39948;14357;697;825;13052;-102;68981;68981;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Expected Value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2;;;;;;
Cereals ;9210;12940;122;624;833;-344;24073;24150;;;;;;
Starchy Roots;2274;191;129;150;0;-175;2919;2975;;;;;;
Oilcrops;177;310;26;24;5169;277;5429;5451;;;;;;
Vegetable Oils;1527;12;402;0;4;65;1880;1882;;;;;;
Vegetables;12430;930;0;12;0;0;13372;13411;;;;;;
Fruits ;9000;0;6;0;6965;90;15881;15874;;;;;;
Meat;5218;0;0;0;16;0;5234;5238;;;;;;
Tot Col;39836;14383;685;810;12987;-87;68788;68981;;;;;;
;;;;;;;;;;;;;;
Variazioni in termini percentuali dall'expected value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;Food;Feed;Losses;Seed;Industrial ;stocks
Cereals ;2;5;10;2;2;10;;Wheat;5;10;20;5;2;20
Starchy Roots;2;5;10;2;0;10;;Maize;5;10;20;5;2;20
Oilcrops;2;5;10;10;2;10;;Rice;5;10;20;5;2;20
Vegetable Oils;2;5;10;0;10;10;;Meat;5;0;20;0;0;0
Vegetables;2;2;0;10;0;0;;Milk;5;2;20;0;0;0
Fruits ;2;0;10;0;2;10;;Fruit;5;5;20;0;0;0
Meat;2;0;0;0;10;0;;Vegetables;5;5;20;5;0;0
Tot Col;20;20;20;20;20;20;;Soybean oil;5;0;20;0;2;5
;;;;;;;;;;;;;;
Variazioni in termini assoluti dall'expected value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;184;647;12;12;17;-34;;;;;;;;
Starchy Roots;45;10;13;3;0;-18;;;;;;;;
Oilcrops;4;16;3;2;103;28;;;;;;;;
Vegetable Oils;31;1;40;0;0;7;;;;;;;;
Vegetables;249;19;0;1;0;0;;;;;;;;
Fruits ;180;0;1;0;139;9;;;;;;;;
Meat;104;0;0;0;2;0;;;;;;;;
Tot col;7967;2877;137;162;2597;-17;;;;;;;;
;;;;;;;;;;;;;;
lower bound;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;9026;12293;110;612;816;-310;;;;;;;;
Starchy Roots;2229;181;116;147;0;-158;;;;;;;;
Oilcrops;173;295;23;22;5066;249;;;;;;;;
Vegetable Oils;1496;11;362;0;4;59;;;;;;;;
Vegetables;12181;911;0;11;0;0;;;;;;;;
Fruits ;8820;0;5;0;6826;81;;;;;;;;
Meat;5114;0;0;0;14;0;;;;;;;;
Tot col;31869;11506;548;648;10390;-104;;;;;;;;
;;;;;;;;;;;;;;
Upper bound;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;9394;13587;134;636;850;-378;;;;;;;;
Starchy Roots;2319;201;142;153;0;-193;;;;;;;;
Oilcrops;181;326;29;26;5272;305;;;;;;;;
Vegetable Oils;1558;13;442;0;4;72;;;;;;;;
Vegetables;12679;949;0;13;0;0;;;;;;;;
Fruits ;9180;0;7;0;7104;99;;;;;;;;
Meat;5322;0;0;0;18;0;;;;;;;;
Tot col;47803;17260;822;972;15584;-70;;;;;;;;
