;Food;Feed;Losses;Seed;Industrial ;stocks
Cereals_A;8289;11646;85;593;791;-241
Starchy Roots_A;2047;172;90;143;0;-123
Oilcrops_A;159;279;18;17;4911;194
Vegetable Oils_A;1374;11;281;0;3;46
Vegetables_A;11187;884;0;8;0;0
Fruits_A;8100;0;4;0;6617;63
Meat_A;4696;0;0;0;11;0
Cereals_B;8289;11646;85;593;791;-241
Starchy Roots_B;2047;172;90;143;0;-123
Oilcrops_B;159;279;18;17;4911;194
Vegetable Oils_B;1374;11;281;0;3;46
Vegetables_B;11187;884;0;8;0;0
Fruits_B;8100;0;4;0;6617;63
Meat_B;4696;0;0;0;11;0
Cereals_C;8289;11646;85;593;791;-241
Starchy Roots_C;2047;172;90;143;0;-123
Oilcrops_C;159;279;18;17;4911;194
Vegetable Oils_C;1374;11;281;0;3;46
Vegetables_C;11187;884;0;8;0;0
Fruits_C;8100;0;4;0;6617;63
Meat_C;4696;0;0;0;11;0
Cereals_D;8289;11646;85;593;791;-241
Starchy Roots_D;2047;172;90;143;0;-123
Oilcrops_D;159;279;18;17;4911;194
Vegetable Oils_D;1374;11;281;0;3;46
Vegetables_D;11187;884;0;8;0;0
Fruits_D;8100;0;4;0;6617;63
Meat_D;4696;0;0;0;11;0
Cereals_E;8289;11646;85;593;791;-241
Starchy Roots_E;2047;172;90;143;0;-123
Oilcrops_E;159;279;18;17;4911;194
Vegetable Oils_E;1374;11;281;0;3;46
Vegetables_E;11187;884;0;8;0;0
Fruits_E;8100;0;4;0;6617;63
Meat_E;4696;0;0;0;11;0
Cereals_F;8289;11646;85;593;791;-241
Starchy Roots_F;2047;172;90;143;0;-123
Oilcrops_F;159;279;18;17;4911;194
Vegetable Oils_F;1374;11;281;0;3;46
Vegetables_F;11187;884;0;8;0;0
Fruits_F ;8100;0;4;0;6617;63
Meat_F;4696;0;0;0;11;0
Cereals_G;8289;11646;85;593;791;-241
Starchy Roots_G;2047;172;90;143;0;-123
Oilcrops_G;159;279;18;17;4911;194
Vegetable Oils_G;1374;11;281;0;3;46
Vegetables_G;11187;884;0;8;0;0
Fruits_G ;8100;0;4;0;6617;63
Meat_G;4696;0;0;0;11;0
Cereals_H ;8289;11646;85;593;791;-241
Starchy Roots_H;2047;172;90;143;0;-123
Oilcrops_H;159;279;18;17;4911;194
Vegetable Oils_H;1374;11;281;0;3;46
Vegetables_H;11187;884;0;8;0;0
Fruits_H ;8100;0;4;0;6617;63
Meat_H;4696;0;0;0;11;0
Cereals_I ;8289;11646;85;593;791;-241
Starchy Roots_I;2047;172;90;143;0;-123
Oilcrops_I;159;279;18;17;4911;194
Vegetable Oils_I;1374;11;281;0;3;46
