ITEM,Feed,Seed,Waste,Processing,Other Util,Food,Stock Var,TotObs,Tot2,Imb=TotObs-Tot2
Cereals,14696,767,90,857,265,9294,593,25376,25376,0
Wheat,2200,600,66,81,10,8631,441,11147,11147,0
Rice,32,29,1,13,9,369,47,406,406,0
Barley,1700,70,2,265,0,15,-84,2136,2136,0
Maize,10100,30,12,497,246,255,210,10930,10930,0
Rye,18,1,0,0,0,4,-1,24,24,0
Oats,350,34,7,0,0,16,-18,425,425,0
Millet,11,0,0,0,0,0,0,11,11,0
Sorghum,259,1,3,0,0,0,0,263,263,0
Cereals Other,26,3,0,0,0,3,-3,35,35,0
Starchy Roots,66,150,40,0,201,2342,-18,2817,2817,0
Cassava,2,0,0,0,3,0,0,5,5,0
Potatoes,50,150,40,0,198,2329,-18,2785,2785,0
Sweet Potatoes,9,0,0,0,0,13,0,22,22,0
Roots Other,5,0,0,0,0,0,0,5,5,0
Sugarcrops,23,0,50,4700,0,0,0,4773,4773,0
Sugar Cane,23,0,50,4700,0,0,0,4773,4773,0
Sugar & Sweeteners,0,0,0,17,196,1767,567,1413,1413,0
Sugar,0,0,0,17,54,1653,560,1164,1164,0
"Sweeteners, Other",0,0,0,0,142,94,7,229,229,0
Honey,0,0,0,0,0,20,0,20,20,0
Pulses,215,20,18,0,0,330,-5,588,588,0
Beans,0,4,5,0,0,104,0,113,113,0
Peas,120,1,4,0,0,80,0,205,205,0
Pulses Other,95,14,9,0,0,146,-5,269,269,0
Treenuts,0,0,4,0,3,491,0,498,498,0
Oilcrops,238,17,34,5977,5,190,11,6450,6450,0
Soyabeans,170,15,21,1826,0,0,0,2032,2032,0
Groundnuts,0,0,0,10,0,18,0,28,28,0
Sunflowerseed,50,1,5,442,0,0,0,498,498,0
Rape and Mustardseed,0,0,2,20,5,3,3,27,27,0
Cottonseed,18,0,0,161,0,0,0,179,179,0
Coconuts - Incl Copra,0,0,0,0,0,23,0,23,23,0
Sesameseed,0,0,1,6,0,0,0,7,7,0
Olives,0,0,4,3354,0,146,0,3504,3504,0
Oilcrops Other,0,0,0,158,0,0,9,149,149,0
Vegetable Oils,350,0,0,5,910,1625,86,2804,2804,0
Soyabean Oil,350,0,0,0,3,241,0,594,594,0
Groundnut Oil,0,0,0,0,0,47,0,47,47,0
Sunflowerseed Oil,0,0,0,0,90,256,0,346,346,0
Rape and Mustard Oil,0,0,0,0,238,80,0,318,318,0
Cottonseed Oil,0,0,0,0,27,0,0,27,27,0
Palmkernel Oil,0,0,0,0,26,8,0,34,34,0
Palm Oil,0,0,0,0,369,40,0,409,409,0
Coconut Oil,0,0,0,0,25,37,0,62,62,0
Sesameseed Oil,0,0,0,0,0,3,0,3,3,0
Olive Oil,0,0,0,0,46,829,84,791,791,0
Maize Germ Oil,0,0,0,0,0,74,0,74,74,0
Oilcrops Oil Other,0,0,0,5,86,10,2,99,99,0
Vegetables,711,12,1345,0,0,9272,1,11339,11339,0
Tomatoes,0,0,150,0,0,3025,0,3175,3175,0
Onions,0,0,43,0,0,348,0,391,391,0
Vegetables Other,711,12,1152,0,0,5899,1,7773,7773,0
Fruits - Excluding Wine + (Total),0,0,768,6775,11,8990,-4,16548,16548,0
Oranges Mandarines,0,0,71,0,0,2889,0,2960,2960,0
Lemons Limes,0,0,19,0,0,583,0,602,602,0
Grapefruit,0,0,2,0,0,56,-4,62,62,0
Citrus Other,0,0,0,0,11,18,0,29,29,0
Bananas,0,0,48,0,0,470,0,518,518,0
Plantains,0,0,0,0,0,3,0,3,3,0
Apples,0,0,217,87,0,1031,0,1335,1335,0
Pineapples,0,0,7,0,0,188,0,195,195,0
Dates,0,0,0,0,0,6,0,6,6,0
Grapes,0,0,209,6641,0,927,0,7777,7777,0
Fruits Other,0,0,194,47,0,2818,0,3059,3059,0
Stimulants,0,0,0,13,0,432,-3,448,448,0
Coffee,0,0,0,0,0,338,0,338,338,0
Cocoa Beans,0,0,0,13,0,86,-5,104,104,0
Tea,0,0,0,0,0,8,2,6,6,0
Spices,0,0,0,0,0,6,-1,7,7,0
Pepper,0,0,0,0,0,3,0,3,3,0
Spices Other,0,0,0,0,0,3,-1,4,4,0
Alcoholic Beverages,0,0,20,725,233,4265,67,5176,5176,0
Wine,0,0,20,725,0,2501,67,3179,3179,0
Beer,0,0,0,0,0,1709,0,1709,1709,0
Beverages Fermented,0,0,0,0,0,1,0,1,1,0
Beverages Alcoholic,0,0,0,0,53,55,0,108,108,0
Alcohol Non-Food,0,0,0,0,179,0,0,179,179,0
Meat,0,0,4,15,0,5231,0,5250,5250,0
Bovine Meat,0,0,0,0,0,1435,0,1435,1435,0
Mutton & Goat Meat,0,0,4,0,0,87,0,91,91,0
Pigmeat,0,0,0,0,0,2591,0,2591,2591,0
Poultry Meat,0,0,0,15,0,795,0,810,810,0
Meat Other,0,0,0,0,0,324,0,324,324,0
Offals,2,0,0,0,0,193,0,195,195,0
Animal Fats,13,0,0,0,83,642,8,730,730,0
Butter Ghee,0,0,0,0,0,166,8,158,158,0
Cream,0,0,0,0,0,211,0,211,211,0
Fats,0,0,0,0,83,264,0,347,347,0
Fish Body Oil,13,0,0,0,0,0,0,13,13,0
Fish Liver Oil,0,0,0,0,0,1,0,1,1,0
Eggs,0,31,2,0,0,641,0,674,674,0
Milk,1076,0,86,212,436,15655,22,17443,17443,0
Fish Seafood,278,0,0,0,0,1491,0,1769,1769,0
Freshwater Fish,0,0,0,0,0,143,0,143,143,0
Demersal Fish,0,0,0,0,0,401,0,401,401,0
Pelagic Fish,278,0,0,0,0,284,0,562,562,0
Marine Fish Other,0,0,0,0,0,96,0,96,96,0
Crustaceans,0,0,0,0,0,145,0,145,145,0
Cephalopods,0,0,0,0,0,216,0,216,216,0
