"Valori presi da FAOSTAT ; Italy 2010 e bilanciati";;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2;imb;;;;;
Cereals ;9230;12950;130;630;860;-350;24150;24150;0;24150;;;;
Starchy Roots;2300;190;135;155;0;-195;2975;2975;0;2975;;;;
Oilcrops;180;310;26;24;5169;258;5451;5451;0;5451;;;;
Vegetable Oils;1530;12;402;0;3;65;1882;1882;0;1882;;;;
Vegetables;12500;895;0;16;0;0;13411;13411;0;13411;;;;
Fruits ;8990;0;4;0;7000;120;15874;15874;0;15874;;;;
Meat;5218;0;0;0;20;0;5238;5238;0;5238;;;;
Tot Col;39948;14357;697;825;13052;-102;68981;68981;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Expected Value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2;;;;;;
Cereals ;9210;12940;122;624;833;-344;24073;24150;;;;;;
Starchy Roots;2274;191;129;150;0;-175;2919;2975;;;;;;
Oilcrops;177;310;26;24;5169;277;5429;5451;;;;;;
Vegetable Oils;1527;12;402;0;4;65;1880;1882;;;;;;
Vegetables;12430;930;0;12;0;0;13372;13411;;;;;;
Fruits ;9000;0;6;0;6965;90;15881;15874;;;;;;
Meat;5218;0;0;0;16;0;5234;5238;;;;;;
Tot col;39836;14383;685;810;12987;-87;68788;68981;;;;;;
;;;;;;;;;;;;;;
Variazioni in termini percentuali dall'expected value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;Food;Feed;Losses;Seed;Industrial ;stocks
Cereals ;5;10;20;5;2;20;;Wheat;5;10;20;5;2;20
Starchy Roots;5;10;20;5;0;20;;Maize;5;10;20;5;2;20
Oilcrops;5;10;20;20;2;20;;Rice;5;10;20;5;2;20
Vegetable Oils;5;10;20;0;20;20;;Meat;5;0;20;0;0;0
Vegetables;5;5;0;20;0;0;;Milk;5;2;20;0;0;0
Fruits ;5;0;20;0;2;20;;Fruit;5;5;20;0;0;0
Meat;5;0;0;0;20;0;;Vegetables;5;5;20;5;0;0
Tot col;20;20;20;20;20;20;;Soybean oil;5;0;20;0;2;5
;;;;;;;;;;;;;;
Variazioni in termini assoluti dall'expected value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;461;1294;24;31;17;-69;;;;;;;;
Starchy Roots;114;19;26;8;0;-35;;;;;;;;
Oilcrops;9;31;5;5;103;55;;;;;;;;
Vegetable Oils;76;1;80;0;1;13;;;;;;;;
Vegetables;622;47;0;2;0;0;;;;;;;;
Fruits ;450;0;1;0;139;18;;;;;;;;
Meat;261;0;0;0;3;0;;;;;;;;
Tot col;7967;2877;137;162;2597;-17;;;;;;;;
;;;;;;;;;;;;;;
lower bound;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;8750;11646;98;593;816;-275;;;;;;;;
Starchy Roots;2160;172;103;143;0;-140;;;;;;;;
Oilcrops;168;279;21;19;5066;222;;;;;;;;
Vegetable Oils;1451;11;322;0;3;52;;;;;;;;
Vegetables;11809;884;0;10;0;0;;;;;;;;
Fruits ;8550;0;5;0;6826;72;;;;;;;;
Meat;4957;0;0;0;13;0;;;;;;;;
Tot col;31869;11506;548;648;10390;-104;;;;;;;;
;;;;;;;;;;;;;;
Upper bound;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;9671;14234;146;655;850;-413;;;;;;;;
Starchy Roots;2388;210;155;158;0;-210;;;;;;;;
Oilcrops;186;341;31;29;5272;332;;;;;;;;
Vegetable Oils;1603;13;482;0;5;78;;;;;;;;
Vegetables;13052;977;0;14;0;0;;;;;;;;
Fruits ;9450;0;7;0;7104;108;;;;;;;;
Meat;5479;0;0;0;19;0;;;;;;;;
Tot col;47803;17260;822;972;15584;-70;;;;;;;;
