"Valori presi da FAOSTAT ; Italy 2010 e bilanciati";;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2;imb;;;;;
Cereals ;9230;12950;130;630;860;-350;24150;24150;0;24150;;;;
Starchy Roots;2300;190;135;155;0;-195;2975;2975;0;2975;;;;
Oilcrops;180;310;26;24;5169;258;5451;5451;0;5451;;;;
Vegetable Oils;1530;12;402;0;3;65;1882;1882;0;1882;;;;
Vegetables;12500;895;0;16;0;0;13411;13411;0;13411;;;;
Fruits ;8990;0;4;0;7000;120;15874;15874;0;15874;;;;
Meat;5218;0;0;0;20;0;5238;5238;0;5238;;;;
Tot Col;39948;14357;697;825;13052;-102;68981;68981;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Expected Value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;Total Obs;Total2;;;;;;
Cereals ;9210;12940;122;624;833;-344;24073;24150;;;;;;
Starchy Roots;2274;191;129;150;0;-175;2919;2975;;;;;;
Oilcrops;177;310;26;24;5169;277;5429;5451;;;;;;
Vegetable Oils;1527;12;402;0;4;65;1880;1882;;;;;;
Vegetables;12430;930;0;12;0;0;13372;13411;;;;;;
Fruits ;9000;0;6;0;6965;90;15881;15874;;;;;;
Meat;5218;0;0;0;16;0;5234;5238;;;;;;
Tot Col;39836;14383;685;810;12987;-87;68788;68981;;;;;;
;;;;;;;;;;;;;;
Variazioni in termini percentuali dall'expected value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;Food;Feed;Losses;Seed;Industrial ;stocks
Cereals ;10;10;30;5;5;30;;Wheat;5;10;20;5;2;20
Starchy Roots;10;10;30;5;0;30;;Maize;5;10;20;5;2;20
Oilcrops;10;10;30;30;5;30;;Rice;5;10;20;5;2;20
Vegetable Oils;10;10;30;0;30;30;;Meat;5;0;20;0;0;0
Vegetables;10;5;0;30;0;0;;Milk;5;2;20;0;0;0
Fruits ;10;0;30;0;5;30;;Fruit;5;5;20;0;0;0
Meat;10;0;0;0;30;0;;Vegetables;5;5;20;5;0;0
Tot Col;20;20;20;20;20;20;;Soybean oil;5;0;20;0;2;5
;;;;;;;;;;;;;;
Variazioni in termini assoluti dall'expected value;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;921;1294;37;31;42;-103;;;;;;;;
Starchy Roots;227;19;39;8;0;-53;;;;;;;;
Oilcrops;18;31;8;7;258;83;;;;;;;;
Vegetable Oils;153;1;121;0;1;20;;;;;;;;
Vegetables;1243;47;0;4;0;0;;;;;;;;
Fruits ;900;0;2;0;348;27;;;;;;;;
Meat;522;0;0;0;5;0;;;;;;;;
Tot col;7967;2877;137;162;2597;-17;;;;;;;;
;;;;;;;;;;;;;;
lower bound;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;8289;11646;85;593;791;-241;;;;;;;;
Starchy Roots;2047;172;90;143;0;-123;;;;;;;;
Oilcrops;159;279;18;17;4911;194;;;;;;;;
Vegetable Oils;1374;11;281;0;3;46;;;;;;;;
Vegetables;11187;884;0;8;0;0;;;;;;;;
Fruits ;8100;0;4;0;6617;63;;;;;;;;
Meat;4696;0;0;0;11;0;;;;;;;;
Tot col;31869;11506;548;648;10390;-104;;;;;;;;
;;;;;;;;;;;;;;
Upper bound;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Food;Feed;Losses;Seed;Industrial ;stocks;;;;;;;;
Cereals ;10131;14234;159;655;875;-447;;;;;;;;
Starchy Roots;2501;210;168;158;0;-228;;;;;;;;
Oilcrops;195;341;34;31;5427;360;;;;;;;;
Vegetable Oils;1680;13;523;0;5;85;;;;;;;;
Vegetables;13673;977;0;16;0;0;;;;;;;;
Fruits ;9900;0;8;0;7313;117;;;;;;;;
Meat;5740;0;0;0;21;0;;;;;;;;
Tot col;47803;17260;822;972;15584;-70;;;;;;;;
